"","varnames"
"109","V5_IPAQ_LeisureTime_W_min"
"110","V5_IPAQ_LeisureTime_W_days"
"111","V5_IPAQ_LeisureTime_W_MET"
"112","V5_IPAQ_LeisureTime_M_h"
"113","V5_IPAQ_LeisureTime_M_min"
"114","V5_IPAQ_LeisureTime_M_days"
"115","V5_IPAQ_LeisureTime_M_MET"
"116","V5_IPAQ_LeisureTime_V_h"
"117","V5_IPAQ_LeisureTime_V_min"
"118","V5_IPAQ_LeisureTime_V_days"
"119","V5_IPAQ_LeisureTime_V_MET"
"120","V5_IPAQ_LeisureTimeTotal_MET"
"121","V5_IPAQ_DomesticAndGardening_M_yard_h"
"122","V5_IPAQ_DomesticAndGardening_M_yard_min"
"123","V5_IPAQ_DomesticAndGardening_M_yard_days"
"124","V5_IPAQ_DomesticAndGardening_M_yard_MET"
"125","V5_IPAQ_DomesticAndGardening_M_inside_h"
"126","V5_IPAQ_DomesticAndGardening_M_inside_min"
"127","V5_IPAQ_DomesticAndGardening_M_inside_days"
"128","V5_IPAQ_DomesticAndGardening_M_inside_MET"
"129","V5_IPAQ_DomesticAndGardening_V_h"
"130","V5_IPAQ_DomesticAndGardening_V_min"
"131","V5_IPAQ_DomesticAndGardening_V_days"
"132","V5_IPAQ_DomesticAndGardening_V_MET"
"133","V5_IPAQ_DomesticAndGardening_Total_MET"
"134","V5_IPAQ_WorkRelated_W_h"
"135","V5_IPAQ_WorkRelated_W_min"
"136","V5_IPAQ_WorkRelated_W_days"
"137","V5_IPAQ_WorkRelated_W_MET"
"138","V5_IPAQ_WorkRelated_M_h"
"139","V5_IPAQ_WorkRelated_M_min"
"140","V5_IPAQ_WorkRelated_M_days"
"141","V5_IPAQ_WorkRelated_M_MET"
"142","V5_IPAQ_WorkRelated_V_h"
"143","V5_IPAQ_WorkRelated_V_min"
"144","V5_IPAQ_WorkRelated_V_days"
"145","V5_IPAQ_WorkRelated_V_MET"
"146","V5_IPAQ_WorkRelated_Total_MET"
"147","V5_IPAQ_TransportRelated_W_h"
"148","V5_IPAQ_TransportRelated_W_min"
"149","V5_IPAQ_TransportRelated_W_days"
"150","V5_IPAQ_TransportRelated_W_MET"
"151","V5_IPAQ_TransportRelated_Cycle_h"
"152","V5_IPAQ_TransportRelated_Cycle_min"
"153","V5_IPAQ_TransportRelated_Cycle_days"
"154","V5_IPAQ_TransportRelated_Cycle_MET"
"155","V5_IPAQ_TransportRelated_PublicTransports_h"
"156","V5_IPAQ_TransportRelated_PublicTransports_min"
"157","V5_IPAQ_TransportRelated_PublicTransports_days"
"158","V5_IPAQ_TransportRelated_Total_MET"
"159","V5_IPAQ_TotaltWalking_MET"
"160","V5_IPAQ_Total_M_MET"
"161","V5_IPAQ_Total_V_MET"
"162","V5_IPAQ_TotalPhysicalActivityMET"
"163","V5_IPAQ_Sitting_Weekday_h"
"164","V5_IPAQ_Sitting_Weekday_min"
"165","V5_IPAQ_Sitting_WeekendDay_h"
"166","V5_IPAQ_Sitting_WeekendDay_min"
"167","V5_IPAQ_SittingTotal_min_week"
"168","V5_IPAQ_Sitting_Travel_h"
"169","V5_IPAQ_Sitting_Travel_min"
"170","V5_IPAQ_Sitting_Total_min"
"171","V5_IPAQ_AverageSitting_Total_min_day"
"172","V1_Dauer"
"173","V1_Geschwindigkeit"
"174","V1_distance"
"175","V1_SW_Rauchverhalten"
"176","V1_SW_Haendigkeit"
"177","V1_SW_Arm"
"178","V1_SW_OnBodyTime"
"179","V1_SW_Gesamtenergieverbrauch"
"180","V1_SW_Off_Body_Schätzung"
"181","V1_SW_Durchschnitt_MET"
"182","V1_SW_PAL"
"183","V1_SW_EnergieverbrauchAktiv"
"184","V1_SW_Aktivitaetsdauer"
"185","V1_SW_Schritte"
"186","V1_SW_Liegend"
"187","V1_SW_Schlaf"
"188","V1_SW_Schlafeffizienz"
"189","V1_SW_On_Body_Dauer_Prozent"
"190","V1_SW_TagesGesamtenergieverbrauch"
"191","V1_SW_TagesGesamtenergieverbrauch_Gesamt"
"192","V1_SW_Tagesaktivitaet"
"193","V1_SW_Tagesaktivitaet_Gesamt"
"194","V1_SW_TagesLiegend"
"195","V1_SW_TagesLiegend_Gesamt"
"196","V1_SW_TagesEnergieverbrauch"
"197","V1_SW_TagesEnergieverbrauch_Gesamt"
"198","V1_SW_Tagesschritte"
"199","V1_SW_Tagesschritte_Gesamt"
"200","V1_SW_TagesSchlafdauer"
"201","V1_SW_TagesSchlafdauer_Gesamt"
"202","V1_SW_TagesMETs"
"203","V1_SW_TagesOnBody"
"204","V1_SW_TagesOnBody_Gesamt"
"205","V1_SW_TagesSchlafeffizienz"
"206","V1_SW_TagesPAL"
"207","V5_Dauer"
"208","V5_Geschwindigkeit"
"209","V5_distance"
"210","V5_SW_Rauchverhalten"
"211","V5_SW_Haendigkeit"
"212","V5_SW_Arm"
"213","V5_SW_OnBodyTime"
"214","V5_SW_Gesamtenergieverbrauch"
"215","V5_SW_Off_Body_Schätzung"
"216","V5_SW_Durchschnitt_MET"
"217","V5_SW_PAL"
"218","V5_SW_EnergieverbrauchAktiv"
"219","V5_SW_Aktivitaetsdauer"
"220","V5_SW_Schritte"
"221","V5_SW_Liegend"
"222","V5_SW_Schlaf"
"223","V5_SW_Schlafeffizienz"
"224","V5_SW_On_Body_Dauer_Prozent"
"225","V5_SW_TagesGesamtenergieverbrauch"
"226","V5_SW_TagesGesamtenergieverbrauch_Gesamt"
"227","V5_SW_Tagesaktivität"
"228","V5_SW_Tagesaktivitaet_Gesamt"
"229","V5_SW_TagesLiegend"
"230","V5_SW_TagesLiegend_Gesamt"
"231","V5_SW_TagesEnergieverbrauch"
"232","V5_SW_TagesEnergieverbrauch_Gesamt"
"233","V5_SW_Tagesschritte"
"234","V5_SW_Tagesschritte_Gesamt"
"235","V5_SW_TagesSchlafdauer"
"236","V5_SW_TagesSchlafdauer_Gesamt"
"237","V5_SW_TagesMETs"
"238","V5_SW_TagesOnBody"
"239","V5_SW_TagesOnBody_Gesamt"
"240","V5_SW_TagesSchlafeffizienz"
"241","V5_SW_TagesPAL"
"242","V1_SF01_item"
"243","V1_SF01_value"
"244","V1_SF02_item"
"245","V1_SF02_value"
"246","V1_SF03_item"
"247","V1_SF03_value"
"248","V1_SF04_item"
"249","V1_SF04_value"
"250","V1_SF05_item"
"251","V1_SF05_value"
"252","V1_SF06_item"
"253","V1_SF06_value"
"254","V1_SF07_item"
"255","V1_SF07_value"
"256","V1_SF08_item"
"257","V1_SF08_value"
"258","V1_SF09_item"
"259","V1_SF09_value"
"260","V1_SF10_item"
"261","V1_SF10_value"
"262","V1_SF11_item"
"263","V1_SF11_value"
"264","V1_SF12_item"
"265","V1_SF12_value"
"266","V1_SF13_item"
"267","V1_SF13_value"
"268","V1_SF14_item"
"269","V1_SF14_value"
"270","V1_SF15_item"
"271","V1_SF15_value"
"272","V1_SF16_item"
"273","V1_SF16_value"
"274","V1_SF17_item"
"275","V1_SF17_value"
"276","V1_SF18_item"
"277","V1_SF18_value"
"278","V1_SF19_item"
"279","V1_SF19_value"
"280","V1_SF20_item"
"281","V1_SF20_value"
"282","V1_SF21_item"
"283","V1_SF21_value"
"284","V1_SF22_item"
"285","V1_SF22_value"
"286","V1_SF23_item"
"287","V1_SF23_value"
"288","V1_SF24_item"
"289","V1_SF24_value"
"290","V1_SF25_item"
"291","V1_SF25_value"
"292","V1_SF26_item"
"293","V1_SF26_value"
"294","V1_SF27_item"
"295","V1_SF27_value"
"296","V1_SF28_item"
"297","V1_SF28_value"
"298","V1_SF29_item"
"299","V1_SF29_value"
"300","V1_SF30_item"
"301","V1_SF30_value"
"302","V1_SF31_item"
"303","V1_SF31_value"
"304","V1_SF32_item"
"305","V1_SF32_value"
"306","V1_SF33_item"
"307","V1_SF33_value"
"308","V1_SF34_item"
"309","V1_SF34_value"
"310","V1_SF35_item"
"311","V1_SF35_value"
"312","V1_SF36_item"
"313","V1_SF36_value"
"314","V1_SF36_Physical_Functioning"
"315","V1_SF36_RoleLimitations_due_to_Physical_Health"
"316","V1_SF36_RoleLimitations_due_to_Emotional_Problems"
"317","V1_SF36_Energy_Fatigue"
"318","V1_SF36_Emotional_Well_Being"
"319","V1_SF36_Social_Functioning"
"320","V1_SF36_Pain"
"321","V1_SF36_GenerealHealth"
"322","V1_rawhtran"
"323","V1_ksk36"
"324","V1_psk36"
"325","V5_SF01_item"
"326","V5_SF01_value"
"327","V5_SF02_item"
"328","V5_SF02_value"
"329","V5_SF03_item"
"330","V5_SF03_value"
"331","V5_SF04_item"
"332","V5_SF04_value"
"333","V5_SF05_item"
"334","V5_SF05_value"
"335","V5_SF06_item"
"336","V5_SF06_value"
"337","V5_SF07_item"
"338","V5_SF07_value"
"339","V5_SF08_item"
"340","V5_SF08_value"
"341","V5_SF09_item"
"342","V5_SF09_value"
"343","V5_SF10_item"
"344","V5_SF10_value"
"345","V5_SF11_item"
"346","V5_SF11_value"
"347","V5_SF12_item"
"348","V5_SF12_value"
"349","V5_SF13_item"
"350","V5_SF13_value"
"351","V5_SF14_item"
"352","V5_SF14_value"
"353","V5_SF15_item"
"354","V5_SF15_value"
"355","V5_SF16_item"
"356","V5_SF16_value"
"357","V5_SF17_item"
"358","V5_SF17_value"
"359","V5_SF18_item"
"360","V5_SF18_value"
"361","V5_SF19_item"
"362","V5_SF19_value"
"363","V5_SF20_item"
"364","V5_SF20_value"
"365","V5_SF21_item"
"366","V5_SF21_value"
"367","V5_SF22_item"
"368","V5_SF22_value"
"369","V5_SF23_item"
"370","V5_SF23_value"
"371","V5_SF24_item"
"372","V5_SF24_value"
"373","V5_SF25_item"
"374","V5_SF25_value"
"375","V5_SF26_item"
"376","V5_SF26_value"
"377","V5_SF27_item"
"378","V5_SF27_value"
"379","V5_SF28_item"
"380","V5_SF28_value"
"381","V5_SF29_item"
"382","V5_SF29_value"
"383","V5_SF30_item"
"384","V5_SF30_value"
"385","V5_SF31_item"
"386","V5_SF31_value"
"387","V5_SF32_item"
"388","V5_SF32_value"
"389","V5_SF33_item"
"390","V5_SF33_value"
"391","V5_SF34_item"
"392","V5_SF34_value"
"393","V5_SF35_item"
"394","V5_SF35_value"
"395","V5_SF36_item"
"396","V5_SF36_value"
"397","V5_SF36_Physical_Functioning"
"398","V5_SF36_RoleLimitations_due_to_Physical_Health"
"399","V5_SF36_RoleLimitations_due_to_Emotional_Problems"
"400","V5_SF36_Energy_Fatigue"
"401","V5_SF36_Emotional_Well_Being"
"402","V5_SF36_Social_Functioning"
"403","V5_SF36_Pain"
"404","V5_SF36_GenerealHealth"
"405","V5_rawhtran"
"406","V5_ksk36"
"407","V5_psk36"
"408","V1_HAQ_1"
"409","V1_HAQ_2"
"410","V1_HAQ_3"
"411","V1_HAQ_4"
"412","V1_Hilfsmittel_1"
"413","V1_Hilfe_Personen_1"
"414","V1_HAQ_5"
"415","V1_HAQ_6"
"416","V1_HAQ_7"
"417","V1_HAQ_8"
"418","V1_Hilfsmittel_2"
"419","V1_Hilfe_Personen_2"
"420","V1_HAQ_Score"
"421","V1_HAQ_Score_Rheuma_Docs"
"422","V5_HAQ_1"
"423","V5_HAQ_2"
"424","V5_HAQ_3"
"425","V5_HAQ_4"
"426","V5_Hilfsmittel_1"
"427","V5_Hilfe_Personen_1"
"428","V5_HAQ_5"
"429","V5_HAQ_6"
"430","V5_HAQ_7"
"431","V5_HAQ_8"
"432","V5_Hilfsmittel_2"
"433","V5_Hilfe_Personen_2"
"434","V5_HAQ_Score"
"435","V5_HAQ_Score_Rheuma_Docs"
"436","XCTPatnr"
"437","V1_Messdatum_Radius"
"438","V1_Messnummer_Radius"
"439","V5_Messdatum_Radius"
"440","V5_Messnummer_Radius"
"441","CommonRegion_Radius"
"442","V1_TotalArea_Radius"
"443","V1_TrabArea_Radius"
"444","V1_D100_Radius"
"445","V1_Dtrab_Radius"
"446","V1_tBVTV_Radius"
"447","V1_tTb.N_Radius"
"448","V1_tTb.Th_Radius"
"449","V1_tTb.Sp_Radius"
"450","V5_TrabArea_Radius"
"451","V5_D100_Radius"
"452","V5_Dtrab_Radius"
"453","V5_tBVTV_Radius"
"454","V5_tTb.N_Radius"
"455","V5_tTb.Th_Radius"
"456","V5_tTb.Sp_Radius"
"457","V1_Ct.Ar_Radius"
"458","V1_Ct.vBMD_Radius"
"459","V1_Ct.Po_Radius"
"460","V1_Ct.Th_A_Radius"
"461","V5_Ct.Ar_Radius"
"462","V5_Ct.vBMD_Radius"
"463","V5_Ct.Po_Radius"
"464","V5_Ct.Th_A_Radius"
"465","V1_Messdatum_MCP"
"466","V1_Messnummer_MCP"
"467","V5_Messdatum_MCP"
"468","V5_Messnummer_MCP"
"469","CommonRegion_MCP"
"470","V1_TotalArea_MCP"
"471","V1_TrabArea_MCP"
"472","V1_D100_MCP"
"473","V1_Dtrab_MCP"
"474","V1_tBVTV_MCP"
"475","V1_tTb.N_MCP"
"476","V1_tTb.Th_MCP"
"477","V1_tTb.Sp_MCP"
"478","V5_TrabArea_MCP"
"479","V5_D100_MCP"
"480","V5_Dtrab_MCP"
"481","V5_tBVTV_MCP"
"482","V5_tTb.N_MCP"
"483","V5_tTb.Th_MCP"
"484","V5_tTb.Sp_MCP"
